,Text,Sentiment,RobertaSentiment,Compare
8,Sitting At A Coffee Shop Watching Netflix Because The Store Manager Cut My Hours And There's No Point To Drive Home,neutral,negative,False
104,"@Dyreschlock Conveniently, You Can Also Watch White Noise On My Netflix For A Dramatic, Almost Wes Anderson-esque Reenactment.",negative,neutral,False
125,"@Willers David Fincher Is The One Who Ended That, Not Netflix",negative,neutral,False
274,"Porn Is The New Netflix, I Don?T Make The Decisions",positive,negative,False
308,@Netflix My Daughter And I Pay For A Family Viewing Pack But Now Because I Don't Live With Her You Want Extra Money. I Think Not. You Can Find A Lake And Go Swimming And I'll Find Another Service.,negative,neutral,False
371,@Dandythelion1 @Netflix_Ca They Poked The Bear!!! This Is All Part Of The Censorship And Restrictions They're Bringing To Canada Via Bill C-11 #Cancelnetflix,neutral,negative,False
376,"@Gregorysomethin I Saw The Netflix Documentary About This Years Back, Crazy Stuff",positive,neutral,False
638,"Watching This Show ""Cunk On Earth"" On Netflix, And I Am In Tears. Frickin' Hysterical.",negative,positive,False
697,@Kimmy00014 @Netflixnaija I'm Not Broke. I Use A Samsung.,positive,neutral,False
745,Am I The Only Who Wasn?T Mad About The Netflix Password Sharing Crackdown News?,positive,neutral,False
786,Cancelling @Netflix Because Of Their Recent Password Sharing Blocking. Time To Catch Up On Some @Primevideo ! #Netflixcanada,neutral,negative,False
791,.@Netflix Release The Rest Of You Season 4 Now,negative,neutral,False
818,@Huntermooretv Netflix Can Keep Part 2,positive,neutral,False
917,Hey @Netflix Here?S A Big ? I?M Out ? Yaa Bish ??,negative,neutral,False
946,@Candyca26892138 @86monik37 Comparte El Netflix,positive,neutral,False
1002,If Love In S2 Is Just A Flashback Im Boycotting Netflix Cos Wth #Yous4,neutral,negative,False
1073,"You Have Econ101 At 9:00 Am, But I Recommend You Go Watch Netflix Instead.",negative,neutral,False
1095,@Amandascyfried I Didn?T Even Know It Existed Until I Checked The New Releases Thing On Netflix And It Popped Up. And The Casting Choices Were Amazing Too.,negative,positive,False
1219,"@Theemodragon My Streaming Budget Went To My Vpn Years Ago And Will Remain There Until The Streaming Wars Are Over And They Figure Out A Way To Get Most Content To Most People Without A Stupid High Price Attached To It. Once, Netflix Killed Piracy By Making A Good Service, Do That Again.",positive,neutral,False
1401,Pose Was One Of My Fav Shows On Netflix And Yes I?M Still Mad About It Not Being Renewed And No Idc About The Backlash Tf Lol,neutral,negative,False
1676,"Nobody Use Netflix Less Than The Person Actually Paying For The Subscription ? Those Perching Eh, )Mo Hw3 No 24/7",positive,neutral,False
